recommendationid,language,sentiment,review,review_clean,playtime_at_review_hours,timestamp_created
223339881,english,negatif,"My beloved <3

RIP",belov rip,116.1,2026-04-15 23:37:43
223339146,english,positif,"One of the OGs that pioneered the Battle Royale genre (well at least popularized it). I preferred this over Fortnite a bit because it was slightly more grounded (none of the harvesting mats and building mechanics).

Plenty of cool collab events and skins.",one og pioneer battl royal genr well least popular prefer fortnit bit slightli ground none harvest mat building mechanics plenti cool collab event skin,2.0,2026-04-15 23:19:03
223339031,english,positif,ITS GOOD TRUST,good trust,7.0,2026-04-15 23:16:00
223338266,english,positif,amazing,amaz,25.0,2026-04-15 22:57:05
223335986,english,positif,OG,og,15.9,2026-04-15 22:03:33
223330426,english,negatif,GAME PERUSAK PERTEMANAN KONTOL!,game usak teman kontol,97.8,2026-04-15 20:14:07
223329402,english,positif,13 Doller west,doller west,55.8,2026-04-15 19:56:43
223329278,english,positif,game hay choi game da tay,game hay choi game da tay,44.8,2026-04-15 19:54:04
223327733,english,negatif,"To many hackers , plus game after the time will not start up after their updates come out",mani hacker plu game time start updat come,576.7,2026-04-15 19:26:23
223327531,english,positif,amaizing,amaiz,663.2,2026-04-15 19:23:07
223326554,english,positif,OK,ok,48.1,2026-04-15 19:05:39
223325577,english,positif,Great!,great,1244.6,2026-04-15 18:48:03
223323635,english,positif,meh,meh,492.4,2026-04-15 18:16:27
223322089,english,positif,good GAMESD,good gamesd,2203.8,2026-04-15 17:49:17
223322056,english,negatif,"PUBG is the OG Battle Royale game. After playing 7 years of PUBG mobile and BGMI, I finally decided to try out this game but this game's optimization is so freaking horrible i cant say any good thing about it. Its fun to play with friends tho but unoptimized as hell.",playerunknown battleground og battl royal game play year playerunknown battleground mobil bgmi final decid tri game game optim freak horribl cant say good thing fun play friend tho unoptim hell,7.2,2026-04-15 17:48:57
223318816,english,negatif,"the fact that ou have to pay to play ranked match is insane, if you play casual just meet 500 level player lol, this game is a jokeeeeeeeeeeeeeeeeeeeee",fact ou pay play peringkat match insan play casual meet level player lol game jokeeeeeeeeeeeeeeeeeeeee,3.9,2026-04-15 16:54:16
223318009,english,positif,Guns,gun,36.0,2026-04-15 16:41:32
223317555,english,positif,"The graphics and physics of the game is satisfactory. Playing at the lowest graphics settings possible, net is also good but the game is not well optimized, I encounter lots of fps flactuation in the game. Hope they will improve it in the days to come.",graphic physic game satisfactori play lowest graphic settings possibl net also good game well optim encount lot frame second flactuat game hope improv day come,17.9,2026-04-15 16:33:38
223316959,english,positif,good,good,1196.1,2026-04-15 16:23:49
223316453,english,positif,pena,pena,60.6,2026-04-15 16:15:01
223315797,english,negatif,"Total crap, I wish I'd never spent money on THIS

Optimization - SH@T
SBMM - DOES NOT EXIST
The store has SH@T prices",total crap wish never spent money optim sh skill based matchmak exist store sh price,47.1,2026-04-15 16:03:49
223314933,english,positif,"it is good, but super laggy",good super latensi tinggi,54.4,2026-04-15 15:49:10
223314891,english,negatif,nerf smg,lemah smg,6.1,2026-04-15 15:48:26
223313788,english,positif,i need to help,need help,932.3,2026-04-15 15:30:26
223309437,english,positif,"Few games still create panic as well as PUBG. You can loot for ten quiet minutes, feel completely in control, then hear one distant shot and suddenly start moving like your real life depends on a helmet and a painkiller. That tension is why it still works. Gunfights feel heavy, mistakes feel expensive, and every match has that “one bad second and it’s over” energy. The funny part is how fast confidence disappears. Everyone talks like a tactician in the lobby, then the circle closes, a car flips, somebody misses the easiest spray ever, and the squad turns into pure stress. But that is also what makes wins feel so good. It is not just about shooting well, it is about surviving your own bad decisions long enough to look smart at the end. PUBG is still one of the few battle royale games where even hiding in a bush can feel dramatic. Slow when it wants to be, brutal when it needs to be, and somehow always one match away from dragging you back in.",games still creat panic well playerunknown battleground item rampas ten quiet minut feel complet control hear one distant shot suddenli start move like real life depends helmet painkil tension still work gunfight feel heavi mistakes feel expensive everi match one bad second energi funni part fast confid disappears everyon talk like tactician lobbi lingkar aman closes car flip somebody misses easiest tembak otomati ever tim turn pure stress also makes win feel good shoot well surviv bad decis long enough look smart end playerunknown battleground still one battl royal games even hiding bush feel dramat slow want brutal need somehow alway one match away drag back,29.6,2026-04-15 14:19:40
223309200,english,positif,Very entertaining game,entertaining game,9122.2,2026-04-15 14:15:47
223307421,english,positif,good,good,54.1,2026-04-15 13:45:30
223305707,english,positif,jus,ju,10.9,2026-04-15 13:11:19
223302027,english,positif,"I’ve played PUBG Mobile for years, and recently I tried PUBG PC on Steam for the first time. The first thing I noticed is that the gameplay feels a bit slower compared to mobile—not in terms of performance, but the overall pacing and movement.
That said, PUBG PC offers a more realistic and immersive experience. The gunplay feels more intense, and matches require more patience and strategy.
Overall, it’s a solid game, especially when playing with friends. If you’re coming from PUBG Mobile, it may take some time to adjust, but it’s definitely worth trying.",play playerunknown battleground mobil year recent tri playerunknown battleground pc steam first time first thing notic gameplay feel bit slower compar mobil terms performance overal pace movement said playerunknown battleground pc offer realist immersive experience gunplay feel intens match requir patienc strategi overal solid game especially play friend come playerunknown battleground mobil may take time adjust definit worth tri,9.9,2026-04-15 11:50:43
223300305,english,positif,Always been great since the very start. Great if like Battle Royale style games. Super fun with a group of friends.,alway great sinc start great like battl royal style games super fun group friend,2113.3,2026-04-15 11:06:07
223299206,english,positif,nice,nice,9.9,2026-04-15 10:35:07
223298963,english,negatif,with new update -80 fps,new baru frame second,43.7,2026-04-15 10:28:47
223298418,english,positif,5Y342 64W2YDC HU35TGYFFR456TF56EYRT4,ydc hu tgyffr tf eyrt,18.9,2026-04-15 10:13:28
223297246,english,negatif,"Spend 2 minutes searching for a match
Spend 2 minutes waiting for the match to fill with players until you are in a plane
Wait 2 minutes on the plane and then diving to a location
One of 2 options:
- Die instantly because in your hause you only found accesories and a 17 backpaks with a crowbar, while other players are already fully equipped nad have guns to invade USA
- Drop in peace, get fully equipped, you can now rival NKorea, get headshotted from a black dot 784 miles away",spend minut searching match spend minut wait match fill player plane wait minut plane diving locat one option die instantli haus found accesori backpak crowbar player alreadi fulli equipped nad gun invad usa drop peace get fulli equipped rival nkorea get headshot black dot mile away,283.8,2026-04-15 09:39:34
223296612,english,positif,ok,ok,57.4,2026-04-15 09:20:16
223290020,english,positif,ok,ok,191.1,2026-04-15 05:42:51
223289975,english,positif,"The Most confusing in-game economy & sheer number of different currencies known to mankind. FPP modes golden, if base game goes to TPP (like PUBG esports went), game turns to wall-staring simulator and I personally won't enjoy it anymore.",confus game economi sheer number different currenc known mankind fpp mode golden base game goe tpp like playerunknown battleground esport went game turn wall stare simul personally enjoy anymor,2835.2,2026-04-15 05:41:33
223288633,english,negatif,"the generic garbage-cazino simulator you cant get rid off .
how it ended up here?",gener garbag cazino simul cant get rid end,5.5,2026-04-15 04:57:58
223287552,english,positif,nice game,nice game,6.0,2026-04-15 04:24:52
223286273,english,positif,fun battle royal,fun battl royal,420.8,2026-04-15 03:48:43
223285530,english,positif,77 hours of my life idk about that buddy,hour life idk buddi,77.7,2026-04-15 03:27:17
223283741,english,positif,GHK!,ghk,79.7,2026-04-15 02:39:41
223283031,english,negatif,If you remove FPP EU I cast red zone above Krafton HQ goes boom gg!,remov fpp eu cast red zona aman krafton hq goe boom good game,111.4,2026-04-15 02:22:18
223282954,english,positif,good,good,656.1,2026-04-15 02:20:47
223282908,english,positif,good,good,608.5,2026-04-15 02:19:33
